zip_code,total_crime,total_theft
60601,2053,697
60602,1788,1105
60603,1191,537
60604,883,215
60605,3508,1043
60606,957,338
60607,5304,2057
60608,6074,1402
60609,6364,1135
60610,3484,1141
60611,4560,1982
60612,6499,1260
60613,3142,1039
60614,4557,2142
60615,5272,1434
60616,5324,1420
60617,8422,1414
60618,4780,1577
60619,9790,1610
60620,11017,1866
60621,6370,830
60622,4973,1652
60623,8802,1174
60624,8037,849
60625,3796,905
60626,3946,1113
60628,9157,1593
60629,7985,1151
60630,2498,660
60631,814,226
60632,5404,1150
60633,749,130
60634,3257,701
60636,5277,675
60637,7867,1405
60638,2850,503
60639,5982,1319
60640,5324,1834
60641,3954,1028
60642,2545,931
60643,4316,753
60644,8102,1103
60645,2131,479
60646,828,214
60647,6188,2221
60649,7617,1316
60651,7125,1038
60652,2652,628
60653,4632,917
60654,2972,1147
60655,865,230
60656,860,214
60657,4706,2020
60659,2209,584
60660,2413,696
60661,1154,418
60666,1169,413
60707,918,263
60827,1147,145
