med_income,zip_code
97202,60601
53194,60602
89435,60603
54011,60604
83166,60605
108392,60606
77614,60607
35799,60608
31951,60609
80405,60610
91323,60611
37163,60612
66008,60613
82645,60614
43131,60615
44584,60616
30886,60617
55118,60618
29431,60619
29106,60620
20545,60621
71258,60622
27168,60623
22644,60624
44190,60625
36596,60626
30425,60628
29824,60629
48242,60630
60894,60631
30843,60632
34493,60633
41536,60634
23991,60636
25841,60637
43278,60638
30137,60639
52890,60640
41656,60641
84657,60642
44520,60643
24482,60644
38104,60645
54962,60646
60129,60647
31621,60649
28654,60651
34018,60652
34359,60653
105832,60654
69608,60655
51288,60656
76519,60657
35656,60659
41103,60660
104348,60661
42933,60707
27162,60827
